region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Uusimaa,1.9,2.4,2.7,3.1,3.3,3.5,3.7,3.9,4.1,4.3,4.4,4.7,5.0,5.2,5.4,5.7,6.1,6.6,7.1,7.5,7.9,8.5,9.1,9.6,10.2,10.6,11.2,11.7,12.1,12.7,13.2,13.9,14.9,16.1
Varsinais-Suomi,1.3,1.5,1.7,1.8,1.9,2.1,2.2,2.4,2.6,2.8,2.9,3.2,3.3,3.5,3.6,3.7,3.9,4.1,4.3,4.5,4.7,5.0,5.3,5.5,5.8,6.0,6.3,6.6,6.9,7.1,7.5,7.8,8.4,9.5
Satakunta,0.8,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.8,2.0,2.2,2.3,2.5,2.8,3.0,3.1,3.4,3.7,3.8,4.0,4.3,4.5,4.8,5.5
Kanta-Häme,0.8,1.0,1.1,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.9,2.0,2.2,2.3,2.4,2.6,2.8,3.1,3.4,3.6,3.8,4.0,4.2,4.2,4.3,4.5,4.6,4.9,5.7
Pirkanmaa,1.0,1.1,1.2,1.3,1.4,1.6,1.6,1.8,1.9,2.0,2.0,2.2,2.3,2.4,2.6,2.7,2.8,3.0,3.2,3.4,3.6,3.8,3.9,4.2,4.3,4.4,4.7,4.8,4.9,5.1,5.2,5.4,5.9,6.7
Päijät-Häme,1.0,1.2,1.3,1.5,1.5,1.7,1.8,1.9,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.5,3.6,3.8,4.1,4.2,4.4,4.5,4.9,5.1,5.3,5.5,5.6,5.8,6.2,7.0
Kymenlaakso,0.8,1.0,1.1,1.2,1.2,1.3,1.3,1.4,1.6,1.7,1.8,2.0,2.1,2.3,2.5,2.7,2.9,3.2,3.6,3.9,4.2,4.6,4.9,5.3,5.5,5.7,6.0,5.9,6.0,6.0,6.1,6.1,6.3,7.1
Etelä-Karjala,0.8,1.0,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.0,2.2,2.4,2.5,2.6,2.8,2.9,3.0,3.2,3.5,3.7,4.0,4.3,4.7,5.0,5.3,5.5,5.8,6.0,6.1,6.3,6.4,6.7,7.2,8.2
Etelä-Savo,0.5,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.4,2.6,2.7,2.8,3.0,3.3,3.3,3.4,3.5,3.6,3.6,4.0,4.9
Pohjois-Savo,0.6,0.7,0.8,0.9,1.0,1.0,1.0,1.1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.5,2.7,2.8,2.9,3.1,3.2,3.2,3.4,3.5,3.8,4.6
Pohjois-Karjala,0.6,0.8,0.9,1.0,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.8,1.9,2.0,2.1,2.3,2.5,2.6,2.8,3.0,3.3,3.4,3.5,3.7,3.8,3.8,3.9,4.1,4.4,4.9,5.8
